Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
r7iz.32xlarge,True,x86_64,64,2,128,,,1048576,default,,50 Gigabit,40000.0,False,11.904
r6idn.metal,True,x86_64,64,2,128,,,1048576,default,7600.0,200 Gigabit,100000.0,False,12.50496
r6idn.32xlarge,True,x86_64,64,2,128,,,1048576,default,7600.0,200 Gigabit,100000.0,False,12.50496
r7i.metal-48xl,True,x86_64,96,2,192,,,1572864,default,,50 Gigabit,40000.0,False,12.7008
r7i.48xlarge,True,x86_64,96,2,192,,,1572864,default,,50 Gigabit,40000.0,False,12.7008
r8i.48xlarge,True,x86_64,96,2,192,,,1572864,default,,75 Gigabit,60000.0,False,13.33632
r8i.metal-48xl,True,x86_64,96,2,192,,,1572864,default,,75 Gigabit,60000.0,False,13.33632
r8gd.metal-48xl,True,arm64,192,1,192,,,1572864,default,11400.0,50 Gigabit,40000.0,False,14.10816
r8gd.48xlarge,True,arm64,192,1,192,,,1572864,default,11400.0,50 Gigabit,40000.0,False,14.10816
r7a.metal-48xl,True,x86_64,192,1,192,,,1572864,default,,50 Gigabit,40000.0,False,14.6064
r7a.48xlarge,True,x86_64,192,1,192,,,1572864,default,,50 Gigabit,40000.0,False,14.6064
r8a.48xlarge,True,x86_64,192,1,192,,,1572864,default,,75 Gigabit,60000.0,False,15.33696
r8a.metal-48xl,True,x86_64,192,1,192,,,1572864,default,,75 Gigabit,60000.0,False,15.33696
r8gb.metal-24xl,True,arm64,96,1,96,,,786432,default,,200 Gigabit,150000.0,False,17.48928
r8gn.48xlarge,True,arm64,192,1,192,,,1572864,default,,600 Gigabit,60000.0,False,17.4893
r8gn.metal-48xl,True,arm64,192,1,192,,,1572864,default,,600 Gigabit,60000.0,False,17.4893
r8i.96xlarge,True,x86_64,192,2,384,,,3145728,default,,100 Gigabit,80000.0,False,26.67264
r8i.metal-96xl,True,x86_64,192,2,384,,,3145728,default,,100 Gigabit,80000.0,False,26.67264
