Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
c7gn.8xlarge,True,arm64,32,1,32,,,65536,default,,100 Gigabit,16667.0,False,1.9968
c7i-flex.12xlarge,True,x86_64,24,2,48,,,98304,default,,Up to 18.75 Gigabit,7500.0,False,2.0349
c5.12xlarge,True,x86_64,24,2,48,,,98304,default,,12 Gigabit,9500.0,False,2.04
c6i.12xlarge,True,x86_64,24,2,48,,,98304,default,,18.75 Gigabit,15000.0,False,2.04
c5ad.12xlarge,True,x86_64,24,2,48,,,98304,default,1800.0,12 Gigabit,4750.0,False,2.064
c6gn.12xlarge,False,arm64,48,1,48,,,98304,default,,75 Gigabit,28500.0,False,2.0736
c8i-flex.12xlarge,True,x86_64,24,2,48,,,98304,default,,Up to 22.5 Gigabit,7500.0,False,2.13648
c7i.12xlarge,True,x86_64,24,2,48,,,98304,default,,18.75 Gigabit,15000.0,False,2.142
c6g.16xlarge,True,arm64,64,1,64,,,131072,default,,25 Gigabit,19000.0,False,2.176
c6g.metal,True,arm64,64,1,64,,,131072,default,,25 Gigabit,19000.0,False,2.176
c7gd.12xlarge,True,arm64,48,1,48,,,98304,default,2850.0,22.5 Gigabit,15000.0,False,2.1773
c8i.12xlarge,True,x86_64,24,2,48,,,98304,default,,22.5 Gigabit,15000.0,False,2.24904
c5d.12xlarge,True,x86_64,24,2,48,,,98304,default,1800.0,12 Gigabit,9500.0,False,2.304
c7g.16xlarge,True,arm64,64,1,64,,,131072,default,,30 Gigabit,20000.0,False,2.32
c7g.metal,True,arm64,64,1,64,,,131072,default,,30 Gigabit,20000.0,False,2.32
c8gd.12xlarge,True,arm64,48,1,48,,,98304,default,2850.0,22.5 Gigabit,15000.0,False,2.35152
c6id.12xlarge,True,x86_64,24,2,48,,,98304,default,2850.0,18.75 Gigabit,15000.0,False,2.4192
c6a.16xlarge,True,x86_64,32,2,64,,,131072,default,,25 Gigabit,20000.0,False,2.448
c6gd.16xlarge,True,arm64,64,1,64,,,131072,default,3800.0,25 Gigabit,19000.0,False,2.4576
c6gd.metal,True,arm64,64,1,64,,,131072,default,3800.0,25 Gigabit,19000.0,False,2.4576
c7a.12xlarge,True,x86_64,48,1,48,,,98304,default,,18.75 Gigabit,15000.0,False,2.46336
c5a.16xlarge,True,x86_64,32,2,64,,,131072,default,,20 Gigabit,6300.0,False,2.464
c8g.16xlarge,True,arm64,64,1,64,,,131072,default,,30 Gigabit,20000.0,False,2.55232
c8a.12xlarge,True,x86_64,48,1,48,,,98304,default,,22.5 Gigabit,15000.0,False,2.58648
c7i-flex.16xlarge,True,x86_64,32,2,64,,,131072,default,,Up to 25 Gigabit,10000.0,False,2.7132
c6i.16xlarge,True,x86_64,32,2,64,,,131072,default,,25 Gigabit,20000.0,False,2.72
c6in.12xlarge,True,x86_64,24,2,48,,,98304,default,,75 Gigabit,37500.0,False,2.7216
c5ad.16xlarge,True,x86_64,32,2,64,,,131072,default,2400.0,20 Gigabit,6300.0,False,2.752
c6gn.16xlarge,False,arm64,64,1,64,,,131072,default,,100 Gigabit,38000.0,False,2.7648
c8gb.12xlarge,True,arm64,48,1,48,,,98304,default,,100 Gigabit,75000.0,False,2.844
